time,open,high,low,close,HV
2022-09-07T08:00:00+08:00,1559.5,1656.7,1487.2,1630.3,99.0128411248894
2022-09-08T08:00:00+08:00,1631.4,1662.9,1591.6,1635.2,98.32791621914534
2022-09-09T08:00:00+08:00,1636.8,1745.8,1631.2,1719.2,97.42576345261912
2022-09-10T08:00:00+08:00,1719.9,1789.1,1707.4,1775.4,96.29439771614466
2022-09-11T08:00:00+08:00,1777.7,1789.4,1720.8,1766.8,94.98254399398759
2022-09-12T08:00:00+08:00,1766.8,1782.3,1693.1,1717,94.21825555344124
2022-09-13T08:00:00+08:00,1716.7,1759.7,1561.4,1574.7,96.65626722372045
2022-09-14T08:00:00+08:00,1574.7,1649.2,1550,1638.6,94.29846604733858
2022-09-15T08:00:00+08:00,1638.1,1655,1456.2,1472.6,97.98912504329863
2022-09-16T08:00:00+08:00,1476.1,1483.4,1405.5,1434.7,89.2032388426821
2022-09-17T08:00:00+08:00,1433.8,1476,1409.9,1469.1,89.23115825994843
2022-09-18T08:00:00+08:00,1469.8,1469.8,1325.6,1334.3,92.19157005085466
2022-09-19T08:00:00+08:00,1334,1392.2,1280,1375.9,92.09166957189828
2022-09-20T08:00:00+08:00,1375.9,1384,1313.2,1323.3,92.3448142483973
2022-09-21T08:00:00+08:00,1322.7,1407.6,1218.8,1247.5,93.32180890941093
2022-09-22T08:00:00+08:00,1245,1349.5,1238.3,1326.2,94.28060783555763
2022-09-23T08:00:00+08:00,1326.9,1359.9,1262.6,1327.2,90.86050535434286
2022-09-24T08:00:00+08:00,1327.5,1348.9,1307.3,1317.2,90.85196978679595
2022-09-25T08:00:00+08:00,1318.5,1336.4,1270,1292.6,85.59281648725326
2022-09-26T08:00:00+08:00,1295.5,1340.2,1278.9,1336.7,84.96299899905102
2022-09-27T08:00:00+08:00,1335.9,1401.7,1304.4,1327.9,84.96128646017361
2022-09-28T08:00:00+08:00,1331,1355.1,1253.4,1337.2,84.96149707468174
2022-09-29T08:00:00+08:00,1337.3,1352.1,1288.4,1336.2,84.95040565988471
2022-09-30T08:00:00+08:00,1336.3,1371.9,1314.7,1328.6,84.71669492912547
2022-10-01T08:00:00+08:00,1328.4,1333.6,1302.6,1311.9,84.7427790877301
2022-10-02T08:00:00+08:00,1311.7,1317.5,1269,1276.5,84.93682980728386
2022-10-03T08:00:00+08:00,1277.1,1329.8,1263.5,1323.4,85.49325219084776
2022-10-04T08:00:00+08:00,1323.9,1370.1,1319.5,1362.1,83.48191086156223
